iteracion,margen,duracion_media_pasos,cayo,aterrizo,llego,tiempo,w_reward_usado,w_reward_siguiente_propuesto
1,25.812782787150923,113.5,9,0,1,0,"[0.0, 0.0, 0.0, 0.0, 0.908143464885826, 0.3872531323693749, 0.15909261031007754, 0.0]","[0.0, 0.0, 0.3870659314931994, 0.3439313956113267, 0.0, 0.6042087972839405, 0.44953089648246464, 0.4058877457900308]"
2,24.438757462234708,131.7,8,1,1,0,"[0.0, 0.0, 0.3870659314931994, 0.3439313956113267, 0.0, 0.6042087972839405, 0.44953089648246464, 0.4058877457900308]","[0.0, 0.0, 0.39909520911360824, 0.3899860284303371, 0.20039341030300323, 0.0, 0.6981654469524526, 0.40129964051879236]"
3,24.37712715846794,164.4,9,0,1,0,"[0.0, 0.0, 0.39909520911360824, 0.3899860284303371, 0.20039341030300323, 0.0, 0.6981654469524526, 0.40129964051879236]","[0.0, 0.0, 0.5314364180388824, 0.40275411696491864, 0.15229220283069778, 0.0, 0.6325684741372255, 0.3633574897184406]"
4,21.814715032366845,177.6,5,0,5,0,"[0.0, 0.0, 0.5314364180388824, 0.40275411696491864, 0.15229220283069778, 0.0, 0.6325684741372255, 0.3633574897184406]","[0.0, 0.0, 0.15231407521167672, 0.4689535354103345, 0.0, 0.0, 0.8181216172564583, 0.29590542998775293]"
5,21.775621898930325,199.5,6,0,4,0,"[0.0, 0.0, 0.15231407521167672, 0.4689535354103345, 0.0, 0.0, 0.8181216172564583, 0.29590542998775293]","[0.0, 0.0, 0.2201263280169441, 0.4648459060478792, 0.0, 0.0, 0.8001901416457433, 0.30847758517802926]"
6,21.77219319809126,184.9,7,1,2,0,"[0.0, 0.0, 0.2201263280169441, 0.4648459060478792, 0.0, 0.0, 0.8001901416457433, 0.30847758517802926]","[0.0, 0.0, 0.19747307544573597, 0.46289049566937013, 0.0, 0.0, 0.8081760029441025, 0.3059220844565843]"
7,21.44852619444112,227.4,9,0,1,0,"[0.0, 0.0, 0.19747307544573597, 0.46289049566937013, 0.0, 0.0, 0.8081760029441025, 0.3059220844565843]","[0.0, 0.0, 0.12964367046350883, 0.46189166997785536, 0.0, 0.0, 0.8310322458606851, 0.281485364190685]"
8,21.36185400178886,218.3,6,0,4,0,"[0.0, 0.0, 0.12964367046350883, 0.46189166997785536, 0.0, 0.0, 0.8310322458606851, 0.281485364190685]","[0.0, 0.0, 0.1853075866787025, 0.46192328692138274, 0.0, 0.0, 0.8183151327634438, 0.28748620629415994]"
9,21.298221338892194,183.5,8,0,2,0,"[0.0, 0.0, 0.1853075866787025, 0.46192328692138274, 0.0, 0.0, 0.8183151327634438, 0.28748620629415994]","[0.0, 0.0, 0.260935083809163, 0.46348973689486267, 0.0, 0.0, 0.7891080130676701, 0.3072436973202705]"
10,21.296720706690127,170.4,5,0,5,0,"[0.0, 0.0, 0.260935083809163, 0.46348973689486267, 0.0, 0.0, 0.7891080130676701, 0.3072436973202705]","[0.0, 0.0, 0.2665321825410353, 0.4626719320604313, 0.0, 0.0, 0.7864433009336038, 0.31048705829718093]"
11,21.221699152950475,177.0,9,0,1,0,"[0.0, 0.0, 0.2665321825410353, 0.4626719320604313, 0.0, 0.0, 0.7864433009336038, 0.31048705829718093]","[0.0, 0.0, 0.13345857342775788, 0.4539753094169206, 0.0, 0.0, 0.8301776496092365, 0.29478856441138085]"
12,21.142357418183746,203.0,3,0,7,0,"[0.0, 0.0, 0.13345857342775788, 0.4539753094169206, 0.0, 0.0, 0.8301776496092365, 0.29478856441138085]","[0.0, 0.0, 0.24594468353979773, 0.4544055626530365, 0.0, 0.0, 0.8036665020212047, 0.2952066239051676]"
13,21.090955084124364,167.6,7,1,2,0,"[0.0, 0.0, 0.24594468353979773, 0.4544055626530365, 0.0, 0.0, 0.8036665020212047, 0.2952066239051676]","[0.0, 0.0, 0.3429483118370982, 0.4453557717941193, 0.0, 0.0, 0.7664239644694846, 0.31086813703663335]"
14,20.67542735664815,189.2,4,0,6,0,"[0.0, 0.0, 0.3429483118370982, 0.4453557717941193, 0.0, 0.0, 0.7664239644694846, 0.31086813703663335]","[0.0, 0.0, 0.2014672187267331, 0.4359013358041094, 0.0, 0.0, 0.8351954568348284, 0.26804763402270537]"
15,20.65660749478238,200.2,6,1,3,0,"[0.0, 0.0, 0.2014672187267331, 0.4359013358041094, 0.0, 0.0, 0.8351954568348284, 0.26804763402270537]","[0.0, 0.0, 0.23981601598854946, 0.43471472700793545, 0.0, 0.0, 0.8219214101101006, 0.2792070561436792]"
